DATE (MM/DD/YYYY),HOUR-MST,Avg Global LI-200 [W/m^2],Avg Cabin Temp [deg F],Avg Lower Temp [deg F],Avg Relative Humidity [%],Avg CR10X Battery [VDC]
1/16/2018,5,-0.0249,41.5467,58.6508,55.1283,12.4317
1/16/2018,6,-0.0193,40.6600,58.2867,55.3958,12.4100
1/16/2018,7,-0.0019,39.7450,57.9842,56.3967,12.3825
1/16/2018,8,7.2495,38.8867,57.6858,55.3975,12.3667
1/16/2018,9,99.6458,38.1233,57.3992,55.8908,12.4783
1/16/2018,10,304.5667,38.2008,57.3125,54.7600,13.3017
1/16/2018,11,470.2500,38.6967,57.1633,26.7333,13.3850
1/16/2018,12,544.2667,39.5308,57.2100,19.1867,13.4300
1/16/2018,13,559.3833,41.1550,57.3442,11.7667,13.4375
1/16/2018,14,506.7583,42.9592,57.5275,10.1867,13.2867
1/16/2018,15,397.1250,44.5158,57.7658,10.6500,12.9817
1/16/2018,16,248.4583,45.7967,57.9533,9.8533,12.8767
1/16/2018,17,77.8008,46.3550,58.4025,9.2500,12.7500
1/16/2018,18,1.0733,45.9133,58.9167,12.6083,12.6425
1/16/2018,19,-0.0273,45.2925,59.1692,16.1908,12.6075
1/16/2018,20,-0.0282,44.6767,59.3508,16.6842,12.5883
1/16/2018,21,-0.0233,44.0892,59.4800,17.7817,12.5700
1/16/2018,22,-0.0214,43.5792,59.5275,17.7125,12.5558
1/16/2018,23,-0.0218,43.0450,59.5008,18.4025,12.5367
1/17/2018,0,-0.0243,42.5025,59.4550,19.2408,12.5175
1/17/2018,1,-0.0211,41.9967,59.3400,19.4283,12.4942
1/17/2018,2,-0.0222,41.4583,59.1575,19.7600,12.4733
1/17/2018,3,-0.0234,40.9867,59.0050,19.5567,12.4500
1/17/2018,4,-0.0210,40.5233,58.7658,19.3100,12.4283
